C,Si,Mn,P,S,Al,V,Nb,Ti,a_temp,r
0.043,0.765,2.822,0.031,0.003,0.029,0.098,0.282,0.001,775,1.3
0.042,0.75,2.588,0.022,0.002,0.03,0.078,0.511,0,775,1.4
0.04,0.754,2.748,0.019,0.002,0.03,0.084,0.529,0.002,776,1.4
0.04,0.737,2.689,0.017,0.002,0.03,0.057,0.513,0.01,782,1.4
0.04,0.735,2.736,0.031,0.002,0.03,0.101,0.002,0,758,1.1
0.037,0.84,2.788,0.031,0.003,0.031,0.094,0.01,0,755,1.1
0.04,0.795,2.836,0.03,0.002,0.03,0.098,0.014,0,762,1.1
0.043,0.814,2.768,0.021,0.004,0.032,0.053,0.01,0.034,756,1.2
0.04,0.78,2.739,0.02,0.003,0.032,0.037,0.01,0.041,759,1.2
0.041,0.743,2.681,0.023,0.004,0.032,0.019,0.002,0.031,754,1.2
0.036,0.826,2.903,0.031,0.002,0.031,0.098,0.007,0.181,783,1.3
0.038,0.803,2.785,0.033,0.001,0.031,0.09,0.016,0.176,783,1.3
0.038,0.809,2.77,0.029,0.001,0.032,0.087,0.018,0.189,784,1.3
0.038,0.79,2.759,0.018,0.002,0.032,0.083,0.018,0.294,776,1.3
0.037,0.826,2.715,0.022,0.003,0.031,0.096,0.01,0.284,783,1.3
0.038,0.782,2.732,0.021,0.003,0.031,0.063,0,0.303,784,1.3
