C,P,S,Al,Nb,Ti,ceq,a_temp,r
0.029,0.01,0.001,0.031,0.041,0,0.306133333,829,1.8
0.028,0.012,0.005,0.028,0.038,0.028,0.338866667,831,1.8
0.031,0.007,0.004,0.028,0.047,0.031,0.356733333,830,1.8
0.031,0.011,0.004,0.028,0.016,0.043,0.342733333,833,1.8
0.02,0.011,0.005,0.033,0.013,0.004,0.289033333,824,1.4
0.019,0.011,0.005,0.032,0.01,0,0.912066667,827,1.4
0.019,0.012,0.005,0.033,0.006,0.004,0.304666667,829,1.4
0.03,0.007,0.006,0.032,0.041,0.001,0.313,832,1.7
0.032,0.009,0.005,0.032,0.055,0,0.3274,831,1.7
0.031,0.011,0.005,0.032,0.037,0,0.3199,829,1.7
0.028,0.009,0.003,0.031,0.123,0.129,0.3264,826,1.8
0.03,0.008,0.003,0.032,0.1,0.115,0.321066667,831,1.8
0.028,0.012,0.002,0.032,0.112,0.14,0.321233333,828,1.8
0.033,0.012,0.003,0.032,0.018,0.008,0.330366667,828,0.8
0.032,0.008,0.003,0.031,0.013,0.019,0.3067,832,0.8
0.032,0.006,0.004,0.031,0.006,0,0.3089,836,0.8
0.02,0.057,0.004,0.031,0,0.011,0.422966667,848,1.9
0.02,0.059,0.003,0.031,0.017,0,0.4283,848,1.9
0.02,0.06,0.003,0.032,0,0.003,0.426266667,851,1.9
0.019,0.032,0.001,0.032,0.072,0,0.4243,850,1.9
0.02,0.03,0.001,0.031,0.035,0,0.449566667,846,1.9
0.022,0.028,0.001,0.032,0.048,0,0.460766667,852,1.9
0.027,0.01,0.005,0.027,0.019,0.047,0.373233333,851,1.8
0.027,0.009,0.004,0.027,0.025,0.043,0.395033333,844,1.8
0.027,0.01,0.004,0.028,0.032,0.035,0.3759,850,1.8
0.011,0.011,0.003,0.028,0.027,0,0.292166667,829,1.9
0.012,0.006,0.002,0.027,0.032,0,0.3068,827,1.9
0.01,0.013,0.003,0.028,0.006,0.01,0.306133333,830,1.9
0.021,0.009,0.002,0.033,0,0.025,0.4008,825,1.8
0.023,0.009,0.001,0.033,0.004,0.022,0.398266667,831,1.8
0.024,0.009,0.001,0.033,0,0.022,0.3974,836,1.8
0.021,0.046,0,0.031,0,0.01,0.3938,826,1.7
0.016,0.052,0,0.032,0,0,0.365433333,827,1.7
0.017,0.051,0.001,0.032,0.01,0.002,0.379033333,828,1.7
0.019,0.061,0.003,0.03,0,0.007,0.357266667,829,1.7
0.021,0.058,0.002,0.029,0.003,0,0.393666667,828,1.7
0.018,0.058,0.003,0.03,0.009,0,0.3876,831,1.7
0.022,0.018,0.001,0.029,0.057,0.02,0.443733333,832,1.8
0.019,0.021,0.001,0.029,0.058,0.017,0.449466667,830,1.8
0.017,0.016,0.002,0.028,0.048,0.018,0.438866667,831,1.8
0.006,0.01,0.005,0.028,0,0.004,0.3723,830,1.9
0.008,0.01,0.004,0.029,0.015,0.001,0.3643,834,1.9
0.007,0.011,0.004,0.029,0,0,0.380666667,828,1.9
0.113,0.012,0.003,0.028,0.012,0,0.533266667,827,0.8
0.113,0.009,0.002,0.028,0.013,0,0.532133333,827,0.8
0.111,0.009,0.003,0.028,0.004,0.001,0.540166667,830,0.8
0.02,0.009,0.001,0.033,0,0.004,0.3726,846,0.8
0.021,0.01,0.001,0.032,0.01,0.007,0.364633333,847,0.8
0.018,0.01,0.001,0.032,0.007,0.001,0.369333333,852,0.8
0.021,0.049,0.001,0.031,0.018,0.009,0.479266667,846,1.7
0.022,0.048,0,0.031,0.004,0,0.4707,850,1.7
0.023,0.049,0.001,0.031,0.019,0,0.478133333,853,1.7
0.021,0.062,0.003,0.03,0,0,0.367,849,1.7
0.02,0.06,0.003,0.03,0.008,0.01,0.3537,851,1.7
0.021,0.061,0.003,0.03,0,0.01,0.365566667,846,1.7
0.026,0.04,0.002,0.029,0.318,0,0.4001,846,1.8
0.025,0.037,0.001,0.029,0.316,0.01,0.385033333,848,1.8
0.023,0.04,0.002,0.029,0.318,0.01,0.390566667,851,1.8
0.019,0.047,0,0.031,0,0.001,0.378833333,831,1.7
0.018,0.049,0.001,0.031,0.003,0.003,0.384366667,828,1.7
0.019,0.05,0.001,0.032,0.016,0.003,0.397533333,836,1.7
0.024,0.06,0.003,0.029,0.005,0.296,0.371933333,848,1.8
0.024,0.059,0.002,0.03,0,0.31,0.360466667,856,1.8
0.022,0.057,0.002,0.029,0.012,0.309,0.373433333,846,1.8
0.015,0.01,0.002,0.032,0.003,0,0.272966667,830,0.8
0.017,0.011,0.002,0.031,0.01,0.001,0.269933333,825,0.8
0.02,0.008,0.003,0.031,0.01,0,0.285333333,829,0.8
0.021,0.009,0.004,0.032,0,0.001,0.3663,829,1.7
0.022,0.009,0.003,0.032,0.005,0.01,0.372633333,829,1.7
0.019,0.009,0.003,0.032,0,0.002,0.366,830,1.7
0.038,0.011,0.005,0.03,0,0.007,0.628933333,775,1.1
0.036,0.01,0.004,0.031,0.007,0,0.625766667,779,1.1
0.041,0.011,0.005,0.031,0.01,0.001,0.631366667,785,1.1
0.036,0.011,0,0.034,0.107,0,0.6106,784,1.3
0.038,0.007,0.001,0.034,0.123,0,0.604,781,1.3
0.038,0.009,0,0.034,0.134,0.002,0.599833333,775,1.3
0.044,0.007,0.006,0.032,0.103,0.162,0.612366667,753,1.3
0.042,0.009,0.006,0.032,0.108,0.153,0.625066667,751,1.3
0.041,0.009,0.006,0.033,0.101,0.16,0.6026,748,1.3
0.039,0.009,0.007,0.031,0.002,0.058,0.596266667,762,1.2
0.043,0.009,0.007,0.031,0.017,0.066,0.591166667,758,1.2
0.041,0.007,0.007,0.032,0.01,0.065,0.6023,762,1.2
0.046,0.01,0.004,0.034,0.194,0.008,0.611933333,772,1.3
0.046,0.011,0.005,0.033,0.213,0.007,0.6191,767,1.3
0.048,0.009,0.005,0.034,0.189,0.018,0.619933333,768,1.3
